id,text
1,tso ho tsua sa ka riong pa kak tuika tsat kanoa ui fe ri e lingo
2,ing a uat tsia ka e lon lo
3,a m sian pea
4,si siu jiap pe sou
5,ma su kok u a pa so pi tai tshiang ka
6,ang e la
7,pin kia bo ko lia u si lih ji tshiu phiu kuae si ko m ge kua lun ko ga ba ka hu tit king siok thaug kea l
8,a suan mo tau vre kui a
9,tiam tiunk tsiak ka kho khoa ki
10,suasi s a e ho kien tik khu
11,i hia khbr la to si sasua guo tshi tshih tshun tso
12,puh la lai lai khang si tsia tkha sio tsia
13,i hin tsik le i tua ln si bui tso si ts si tua kang tion ba si ashi sieae kuiat
14,li tsit ie homben me
15,rl pu pura kohe tsu to pauh i kioe ke kheh i ke kak au tshitue ti k singbi
16,ia lu rae si sim lang kuau ben tsiok uet kanm ta sing khu ran kian lo siu tin
17,mebe la
18,ouo kok ba si tsia pg si ebe ko khe a khu tsung te ua tshu bo la be iak khia o kok ba i
19,ka hitk tsoap pu tsit tsan jit tsi ka lua hig he ve
20,lpu ge pw sit lia tshat io ka ka si bi kng ta un pea luie to shi puian siai higiosin tng te
21,o hian pi pu lbo to poua lue khi a ilin than zio sut sian
22,a si lu ha tduai tae ki lahe o thau lung khra lu kai pone tshia ea ui hu i tsit kioh dzok ji gha iuh gue i giuap i tsa o kho tshe
23,haneh i jo a uhen botsh ri puo e pu ri
24,pi lap si ton sua vak e pi liok ki si a shiat lo t k tshua ka koatk p keo tse pi kasi tit lu sinl be
25,la hu santsioh tsin hio tay thoaobues
26,jia khi
27,e sion kia sik khi kong ko te va
28,u pit gua pa si kholehu tui li kho tik i en tshap tsuat tso og e kong h tong jit si
29,re ka u i than ka gua tou sioka tsitlu vai hin siog so si lu au si tok tsit sian
30,guo hoh a l lu la
31,taviau lok kitshat te
32,pi lang tei bo piaon te be bo a
33,tak ke tsiah t gua lun san la tst tng kua thi na puan li ting kith sioktk thun thig hing mu thok uip
34,pak keia lonk kuai a lan at khi hngtsha ke u tsitie tshi a
35,p tsu ho phinpti in to tsit hu he gia pin thang tsi ho lbo
36,o leh a tsi k tua u he ko tat ten ktha kuah li
37,tue pio ta pon tsia ho via
38,tsi ah thian hang tsinspie png t ko lo iua kinj paini thaus khua sin pn tsit plio khoh tok ku siau lo a ho tsit si guatk kho siua tsia tshiu puiou lit hio tiok tsitk pua ci a
39,poa a au o ci
40,pi ui bo tshe a ha he siv bun ta so i let liong gsok dyo si lap kiot ko et khi tsi
41,leh ki hi la r citi e s lo i sis hiloh sa si tha kho thua toh tsu
42,a sion sian ka puit pi tun thua lrh la pi e inu
43,li ki hu pua ki la u te i tsio tok si hiap i
44,go ko bua o bua lua
45,tuang si poa pa hiaun i hok tsuatp pi tsuea shu a thua suei li le
46,a e tsu kak bea khei
47,tsan sing tshia pouo lui kian pu sit loh sia pu t to ho te ti i kia hu e ka te tsu
48,tsin tsoak si phin simu hola ji bu bie pa sue uo tsit lit on han lea kamu o
49,tak hu a lio u tin tsiokp st iue voh bu ou tsiok hinsan tok koeirlr puo suan kh sa k u lo
50,gua tsi ga tam tit le a tsiun kue tshu ung tsia la tsue la
51,tuo lin ua bwe kam tea ka
52,pia mui kok i r kia ea sa ten t kho ka phen bit ko tsut tin ka tivizom ka s kuat hia ia pit kion pinu hi
53,pa ua tsu pong tsu tsiak khu
54,ua tn lon tau bi pue biae sian e lu koau bo
55,o tsi ke hui bat ti ji kho li ji e tiok uat ta siaun he hau huatk ha lia i tie e tsuan siong khat s ka tholi kho
56,gua sint
57,tshit tshi pen ue pak po po u to pin tsiu tshiak huen lok a io tsip re la tso
58,k hia
59,be toe to tshia ho tsua be tun gau pi kam si lo tuen a a ka bat ko uei t tshu la tu pe tsit l
60,puit tui ang ra bo o e si tsiong tal peh nh si tsa kah tshian ho kher
61,suah bat la cei tsa tsi o u si siuan eh khuan lalh tsia
62,tsia pio u khui oeo lu tshia tsin tsiak shian tsi i tshia sio ko bui ka toe than tan lan gue phaun 
63,pe sing tia tsi ke tan thio pw va
64,han kat shoi ua n ki tha he tui ts h sua pehtn guia khiu
65,ti ma basit kang huan ra
66,hi tshit tshit tsu tsun te hoh l tom jvo bu thian
67,ua ko gua bue a tho en eiu si k pai ak i li tsu lang tsin ho
68,t a tol kho lio tsioh le tsi a
69,a tsi la chea khi khi khi
70,lal sio kea
71,guang o ka kio ka tsit to ho loakp bo tsae tiau ua ta lang eh in a ua
72,bah ka jsit tso tsi ak si tsue tshe po hiu
73,tsun tsit kua si th bo tiant kau it toa tsi pho than khan tsi pi tsio giok ka si ten ia
74,i tsi k ka lang koi peih
75,fo mia n si uat si tsah hun eu ka tia a sitrkng tsua
76,i tse hia i la cha tit oe la kok shiatk i tsit ku gu ci tha la lo tsen sin puin lu tshio hu tsit tshing he topk sag ho kha
77,o lin pehr lh ka pu lui khi la
78,piau a jsiu uat t ke ok p k tue ui pt po
79,u ting i bia i top lieat lai a tia ban huat li thia guat kio lae tsit kua ei kia tshian lan tsia
80,pio lit ka peri koa silr tha tsio sa tsuap tsit pah ge pah tsi tshiu san tshing ge tshiangrp k to si tsu so ro lo tsumra rhaj ka tsuang lo hue hu s tha thorluz tsik e s tso pi per ka si lah o thu k po loa bi tsok hi
81,hianl suau o sun si
82,tai o si pu me kak kha
83,kian
84,ia tsio si tkhau khuet tso ka po pe tsiah po kuan si ba k tuin hon
85,to tsit khua sa ho tsan sio tjiu lu be gia tong khi tsit hua eai
86,u b po tshi un tsa bo kian la u bang it huat le lu o sian e la pi jia
87,te kia lo ja kuat kia kag si chitan iua tui
88,be bo sa le ho l lo an i ki i tsia
89,pi tshi hauo pe u le e lai a kutiu su pen ling kot si tsit o s
90,a pa pa akhuat k ka thiam
91,man kin lat tsia pon la
92,ri lo ri kua si an ka hi ra pin jgsiau sang gu kta ping a ha hin ho phuan tokt tsikha
93,lo k tu guan ten ian si gua suen e pbu lnan tsua ut io guan lon be ho h
94,tsiobu hi phin so hi lia thau tsion tsit ku si tji khue kho pan e sian tu to si ko ton shu pan hit tsit pah
95,t tsua khi si ua puen kuan khi la khi hue
96,ta tsin kua lien tue lang tsua a
97,ba tshua hi pi hio pin tusi heae ki
98,guo lo chauh khue tap tap te ti tuak hau loh uan bgua tsu ln tsu e lia
